"Bundesland","Ort","Institut","Link","Kategorie","Latitude","Longitude","Adresse","Type","Source","Kontakt"
"Universitätsinstitute",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baden-Württemberg","Freiburg","Universitätsklinikum, Institut für Virologie","https://www.uniklinik-freiburg.de/virologie.html","Universitätsinstitute",48.0017763,7.8470186,"Hermann-Herder-Strasse 11, D-79104 Freiburg","Diagnostic center","GfV",NA
"Baden-Württemberg","Heidelberg","Universitätsklinikum, Dept. für Infektiologie, Virologie","https://www.klinikum.uni-heidelberg.de/zentrum-fuer-infektiologie/virologie","Universitätsinstitute",49.4155869,8.6661299,"Im Neuenheimer Feld 344, D-69120 Heidelberg","Diagnostic center","GfV",NA
"Baden-Württemberg","Tübingen","Universitätsklinikum, Institut für Medizinische Virologie","https://www.medizin.uni-tuebingen.de/de/das-klinikum/einrichtungen/institute/virologie-epidemiologie","Universitätsinstitute",48.531829,9.0329369,"Elfriede-Aulhorn-Str. 6, D-72076 Tübingen","Diagnostic center","GfV",NA
"Baden-Württemberg","Ulm","Universitätsklinikum, Institut für Virologie","https://www.uniklinik-ulm.de/virologie.html","Universitätsinstitute",48.4236474,9.95386,"Albert-Einstein-Allee 11, D-89081 Ulm","Diagnostic center","GfV",NA
"Bayern","Erlangen","Universitätsklinikum, Virologisches Institut","https://www.virologie.uk-erlangen.de/","Universitätsinstitute",49.5989319,11.0058134,"Schlossgarten 4, D-91054 Erlangen","Diagnostic center","GfV",NA
"Bayern","München TUM","Lehrstuhl für Chemie Biogener Rohstoffe","https://cbr.cs.tum.de/","Universitätsinstitute",48.883601,12.584086,"Schulgasse 16, D-94315 Straubing","Partner lab (?)","https://www.tum.de/nc/die-tum/aktuelles/pressemitteilungen/details/35961/",NA
"Bayern","München TUM","Institut für Virologie","https://www.virologie.med.tum.de/","Universitätsinstitute",48.13811,11.60204,"Trogerstr. 30, D-81675 München","Diagnostic center","GfV",NA
"Bayern","München LMU","Max von Pettenkofer-Institut","http://www.mvp.uni-muenchen.de/diagnostik/klinische-virologie/","Universitätsinstitute",48.133789,11.562616,"Pettenkoferstr. 9a, D-80336 München","Diagnostic center","GfV",NA
"Bayern","München","Institut für Mikrobiologie der Bundeswehr","https://instmikrobiobw.de","Universitätsinstitute",48.209612,11.58234,"Neuherbergstr. 11, D-80937 München","Diagnostic center","GfV",NA
"Bayern","Regensburg","Universität, Institut für Mikrobiologie und Hygiene","https://www.imhr.de/startseite/16-aktuelle-meldungen/324-aktuelle-hinweise-zu-coronavirus","Universitätsinstitute",48.987401,12.088927,"Franz-Josef-Strauß-Allee 11, D-93053 Regensburg","Diagnostic center","GfV",NA
"Bayern","Würzburg","Universität, Institut für Virologie","http://www.virologie.uni-wuerzburg.de/institut/","Universitätsinstitute",49.803479,9.959978,"Versbacher Straße 7, D-97078 Würzburg","Diagnostic center","GfV",NA
"Berlin","Berlin","Charité, Institut für Virologie (Konsiliarlabor für Coronaviren)","https://virologie-ccm.charite.de/","Universitätsinstitute",52.523581,13.378348,"Charitéplatz 1, D-10117 Berlin","Diagnostic center","GfV","victor.corman@charite.de"
"Berlin","Berlin","RKI, Zentrum für Biologische Gefahren und Spezielle Pathogene ZBS 1","www.rki.de","Universitätsinstitute",52.539306,13.347302,"Nordufer 20, D-13353 Berlin","Diagnostic center","GfV",NA
