"strasse"	"plz"	"ort"
"Willy-Brandt-Str. 1"	"10557"	"Berlin"
"Mohrenstraße 37"	"10117"	"Berlin"
"Wilhelmstraße 54"	"11055"	"Berlin"
"Stresemannstraße 128-130"	"10117"	"Berlin"
"Richard-Wagner-Str. 15"	"70184"	"Stuttgart"
"Kernerplatz 10"	"70182"	"Stuttgart"
"Franz-Josef-Strauß-Ring 1"	"80539"	"München"
"Frau Michaela Kaniber"	"80535"	"München"
"Berliner Rathaus"	"10178"	"Berlin"
"Salzburger Straße 21-25"	"10825"	"Berlin"
"Heinrich-Mann-Allee 107"	"14473"	"Potsdam"
"Heinrich-Mann-Allee 103"	"14473"	"Potsdam"
"Am Markt 21"	"28195"	"Bremen"
"Contrescarpe 72"	"28195"	"Bremen"
"Rathausmarkt 1"	"20095"	"Hamburg"
"Alter Steinweg 4"	"20459"	"Hamburg"
"Georg-August-Zinn Straße 1"	"65183"	"Wiesbaden"
"Mainzer Str. 80"	"65189"	"Wiesbaden"
"Schloßstr. 2-4"	"19053"	"Schwerin"
"Paulshöher Weg 1"	"19061"	"Schwerin"
"Planckstr. 2"	"30169"	"Hannover"
"Calenberger Str. 2"	"30169"	"Hannover"
"Stadttor 1"	"40219"	"Düsseldorf"
"Frau Ursula Heinen-Esser"	"40190"	"Düsseldorf"
"Peter-Altmeier-Allee 1"	"55116"	"Mainz"
"Kaiser-Friedrich-Straße 1"	"55116"	"Mainz"
"Am Ludwigsplatz 14"	"66117"	"Saarbrücken"
"Keplerstr. 18"	"66117"	"Saarbrücken"
"Archivstr. 1"	"01097"	"Dresden"
"Archivstraße 1"	"01097"	"Dresden"
"Hegelstr. 40-42"	"39104"	"Magdeburg"
"Leipziger Str. 58"	"39112"	"Magdeburg"
"Düsternbrooker Weg 104"	"24105"	"Kiel"
"Postfach 7151"	"24171"	"Kiel"
"Regierungsstr. 73"	"99084"	"Erfurt"
"Werner-Seelenbinder-Straße 8"	"99096"	"Erfurt"
"Mohrenstraße 6"	"10117"	"Berlin-Mitte"
"In den Ministergärten 1"	"10117"	"Berlin"
"Große Hamburger Straße 5-11"	"10115"	"Berlin"
"Lützowstraße 89 - 90"	"10785"	"Berlin"
"Dieffenbachstraße 1"	"10967"	"Berlin"
"Ernst-August-Platz 6"	"30159"	"Hannover"
"Bahnhofstraße 2"	"30159"	"Hannover"
"Kröpckepassage 3"	"30159"	"Hannover"
"Rathenaustraße 16"	"30159"	"Hannover"
"Schillerstraße 23"	"30159"	"Hannover"
"Georgstraße 38"	"30159"	"Hannover"
"Ernst-August-Platz 3 a"	"30159"	"Hannover"
"Theaterstraße 15"	"30159"	"Hannover"
"Luisenstraße 5"	"30159"	"Hannover"
"Karmarschstraße 33 - 35"	"30159"	"Hannover"
"Georgstraße 46"	"30159"	"Hannover"
"Theaterstraße 14"	"30159"	"Hannover"
"Georgstraße 19"	"30159"	"Hannover"
"Georgstraße 54"	"30159"	"Hannover"
"Karmarschstraße 36"	"30159"	"Hannover"
"Rundestraße 10"	"30161"	"Hannover"
"Lange Laube 4"	"30159"	"Hannover"
"Lavesstraße 6"	"30159"	"Hannover"
"Lavesstraße 79"	"30159"	"Hannover"
"Königstraße 9"	"30175"	"Hannover"
"Lister Meile 9"	"30161"	"Hannover"
"Lister Meile 19"	"30161"	"Hannover"
"Marienstraße 3"	"30171"	"Hannover"
"Lister Meile 17"	"30161"	"Hannover"
"Brühlstraße 3"	"30169"	"Hannover"
"Lister Meile 13"	"30161"	"Hannover"
"An der Apostelkirche 2"	"30161"	"Hannover"
"Aegidientorplatz 2 b"	"30159"	"Hannover"
"Hildesheimer Straße 11"	"30169"	"Hannover"
"Aegidientorplatz 2 a"	"30159"	"Hannover"
"Sedanstraße 7"	"30161"	"Hannover"
"Hildesheimer Straße 6"	"30169"	"Hannover"
"Heinrichstraße 24"	"30175"	"Hannover"
"Am Klagesmarkt 10/11"	"30159"	"Hannover"
"Am Klagesmarkt 10 - 11"	"30159"	"Hannover"
"Marienstraße 57"	"30171"	"Hannover"
"Dieterichsstraße 35 b"	"30159"	"Hannover"
"Eichstraße 2"	"30161"	"Hannover"
"Gustav-Adolf-Straße 8"	"30167"	"Hannover"
"Calenberger Esplanade 1"	"30169"	"Hannover"
"Marienstraße 61"	"30171"	"Hannover"
"Marschnerstraße 9"	"30167"	"Hannover"
"Kestnerstraße 42 - 43"	"30159"	"Hannover"
"Lister Meile 48"	"30161"	"Hannover"
"Walter-Gieseking-Straße 3"	"30159"	"Hannover"
"Lenaustraße 13"	"30169"	"Hannover"
"Celler Straße 79"	"30161"	"Hannover"
"Wedekindstraße 34"	"30161"	"Hannover"
"Schlägerstraße 7"	"30171"	"Hannover"
"Bödekerstraße 58"	"30161"	"Hannover"
"Voßstraße 24"	"30161"	"Hannover"
"Nelkenstraße 21"	"30167"	"Hannover"
"Siegesstraße 9"	"30175"	"Hannover"
"Blumenauer Straße 1"	"30449"	"Hannover"
"Bohnhorststraße 2"	"30165"	"Hannover"
"Schwarzer Bär 8"	"30449"	"Hannover"
"Auf dem Lärchenberge 14"	"30161"	"Hannover"
"Deisterstraße 9"	"30449"	"Hannover"
"Krausenstraße 54"	"30171"	"Hannover"
"Gerhardtstraße 2"	"30167"	"Hannover"
"Seelhorststraße 49"	"30175"	"Hannover"
"Deisterstraße 11"	"30449"	"Hannover"
"Bödekerstraße 90"	"30161"	"Hannover"
"Seelhorststraße 53"	"30175"	"Hannover"
"Deisterstraße 13"	"30449"	"Hannover"
"Kopernikusstraße 5"	"30167"	"Hannover"
"Oskar-Winter-Straße 9"	"30161"	"Hannover"
"Vahrenwalder Straße 52"	"30165"	"Hannover"
"Lister Meile 88"	"30161"	"Hannover"
"Bödekerstraße 85"	"30161"	"Hannover"
"Lister Platz 1"	"30163"	"Hannover"
"Deisterstraße 19"	"30449"	"Hannover"
"Joachimstraße 1"	"30159"	"Hannover"
"Rothenburg 49"	"48143"	"Münster"
"Bogenstraße 3"	"48143"	"Münster"
"Salzstraße 58"	"48143"	"Münster"
"Bogenstraße 15 - 16"	"48143"	"Münster"
"Rothenburg 43 - 44"	"48143"	"Münster"
"Salzstraße 54"	"48143"	"Münster"
"Salzstraße 39"	"48143"	"Münster"
"Windthorststraße 65"	"48143"	"Münster"
"Tibusplatz 5"	"48143"	"Münster"
"Salzstraße 43"	"48143"	"Münster"
"Königsstraße 22 - 23"	"48143"	"Münster"
"Loerstraße 27"	"48143"	"Münster"
"Salzstraße 29"	"48143"	"Münster"
"Windthorststraße 35"	"48143"	"Münster"
"Winkelstraße 19"	"48143"	"Münster"
"Windthorststraße 31"	"48143"	"Münster"
"Am Kreuztor 6"	"48147"	"Münster"
"Windthorststraße 16"	"48143"	"Münster"
"Ludgeriplatz 2"	"48151"	"Münster"
"Warendorfer Straße 3"	"48145"	"Münster"
"Bahnhofstraße 6"	"48143"	"Münster"
"Hammer Straße 2"	"48153"	"Münster"
"Von-Kluck-Straße 15"	"48151"	"Münster"
"Piusallee 20-22"	"48147"	"Münster"
"Piusallee 18"	"48147"	"Münster"
"Kanalstraße 15"	"48147"	"Münster"
"Hammer Straße 1"	"48153"	"Münster"
"Bahnhofstraße 24"	"48143"	"Münster"
"Bergeshöh 30"	"09128"	"Chemnitz"
"Invalidenstraße 44"	"10115"	"Berlin"
"An der Pirschheide 28"	"14471"	"Potsdam"
"Logedamm 2"	"27432"	"Oerel"
"Ellernstraße 41a"	"30175"	"Hannover"
"Wandweg 1"	"44149"	"Dortmund"
"Hopstener Straße 125"	"48429"	"Rheine"
"Robert-Schuman-Platz 1"	"53175"	"Bonn"
"Alter Bahndamm 6"	"59964"	"Medebach"
"Breslauer Straße 4"	"63628"	"Bad Soden-Salmünster"
"Oberer Göttelbach 37"	"78713"	"Schramberg"
"Färberweg 14"	"83224"	"Grassau"
"Hasenwende 10"	"99089"	"Erfurt"
